address,city,zip,price,beds,baths,sqft,year_built,lot_size,property_type,hoa_month,days_on_market,tract_geoid,county_name,dist_to_addison_mi,dist_to_lewisville_mi,latitude,longitude,redfin_url
4302 Metropolitan Ave,Dallas,75210,145000,,,,1925,12676,Vacant Land,,136,48113002703,Dallas,13.58,23.01,32.7758088,-96.7485356,https://www.redfin.com/TX/Dallas/4302-Metropolitan-Ave-75210/home/30805357
2719 Cross St,Dallas,75210,58000,,,,,2788,Vacant Land,,145,48113002703,Dallas,14.0,23.35,32.7688806,-96.7497294,https://www.redfin.com/TX/Dallas/2719-Cross-St-75210/home/30804750
4525 Canal St,Dallas,75210,145000,2,2.0,960,1938,4792,Multi-Family (2-4 Unit),,173,48113002703,Dallas,13.63,23.15,32.7765347,-96.7435005,https://www.redfin.com/TX/Dallas/4525-Canal-St-75210/home/30815377
4121 Hamilton Ave,Dallas,75210,144000,,,,,7920,Vacant Land,,174,48113002703,Dallas,13.56,22.95,32.7753305,-96.7509257,https://www.redfin.com/TX/Dallas/4121-Hamilton-Ave-75210/home/198948254
3702 Frank St,Dallas,75210,165000,2,1.0,816,1955,6229,Single Family Residential,,174,48113002703,Dallas,13.89,23.23,32.7702386,-96.7509135,https://www.redfin.com/TX/Dallas/3702-Frank-St-75210/home/30804700
3520 Carl St,Dallas,75210,94950,,,,,6939,Vacant Land,,223,48113002703,Dallas,13.71,22.99,32.7716527,-96.7556459,https://www.redfin.com/TX/Dallas/3520-Carl-St-75210/home/30799459
2006 Jb Jackson Jr Blvd Unit J,Dallas,75210,159000,,,,,6665,Vacant Land,,289,48113002703,Dallas,13.76,22.99,32.7702466,-96.7578697,https://www.redfin.com/TX/Dallas/2006-Jb-Jackson-Jr-Blvd-75210/unit-J/home/30799333
2722 Hector St,Dallas,75210,200000,3,2.0,1014,1939,3311,Single Family Residential,,341,48113002703,Dallas,14.02,23.36,32.7685686,-96.7497828,https://www.redfin.com/TX/Dallas/2722-Hector-St-75210/home/30804738
4103 Jamaica St,Dallas,75210,119999,1,1.0,576,1920,5749,Single Family Residential,,438,48113002703,Dallas,13.72,23.12,32.773365,-96.7492799,https://www.redfin.com/TX/Dallas/4103-Jamaica-St-75210/home/30805285
2248 Cooper St,Dallas,75215,210000,4,2.5,1600,1909,5837,Single Family Residential,,37,48113003700,Dallas,14.25,23.21,32.7604579,-96.7681723,https://www.redfin.com/TX/Dallas/2248-Cooper-St-75215/home/30802777
2807 Tanner St,Dallas,75215,264000,3,2.0,1782,1925,5489,Single Family Residential,,14,48113003700,Dallas,13.95,23.03,32.7658255,-96.7641206,https://www.redfin.com/TX/Dallas/2807-Tanner-St-75215/home/30808092
2646 Tanner St,Dallas,75215,319000,4,2.0,1563,2022,4800,Single Family Residential,,20,48113003700,Dallas,14.04,23.1,32.7642451,-96.7649345,https://www.redfin.com/TX/Dallas/2646-Tanner-St-75215/home/30802417
2403 Dathe St,Dallas,75215,380000,3,2.5,1904,2021,4704,Single Family Residential,,27,48113003700,Dallas,14.24,23.23,32.7607664,-96.7670824,https://www.redfin.com/TX/Dallas/2403-Dathe-St-75215/home/30802743
3402 Spring Ave,Dallas,75215,329999,3,2.0,1672,2026,7500,Single Family Residential,,29,48113003700,Dallas,14.17,23.46,32.7658166,-96.7515529,https://www.redfin.com/TX/Dallas/3402-Spring-Ave-75215/home/30804443
3514 Dunbar St,Dallas,75215,344500,3,2.0,1646,2026,5489,Single Family Residential,,34,48113003700,Dallas,13.86,23.02,32.7680399,-96.7608139,https://www.redfin.com/TX/Dallas/3514-Dunbar-St-75215/home/30808006
